asset_index,top_number,closing_id,median_down
52,8,2,1.2670805151061872
52,9,7,1.2670805151061872
52,10,9,1.2670805151061872
13,1,2,0.9805214630398403
13,2,14,0.8564384232914565
13,3,19,0.8564384232914565
13,4,7,0.7888337064243688
13,5,12,0.7236795253676218
13,6,15,0.7236795253676218
13,7,23,0.7236795253676218
13,8,11,0.46482185433954104
13,9,26,0.46482185433954104
13,10,82,0.4388103873267077
6,1,10,2.233473731584263
6,2,11,1.8594681703159692
6,3,14,1.841448459584528
6,4,26,1.841448459584528
6,5,12,1.635204020635448
6,6,15,1.635204020635448
6,7,23,1.635204020635448
6,8,27,1.635204020635448
6,9,19,1.5603333148415617
6,10,29,1.5603333148415617
16,1,53,1.6235327003699733
16,2,40,1.5510817023263446
16,3,45,1.5510817023263446
16,4,52,1.5510817023263446
16,5,54,1.5510817023263446
16,6,46,1.5465517127735873
16,7,49,1.5465517127735873
16,8,63,1.5465517127735873
16,9,48,1.5420217232208302
16,10,64,1.5420217232208302
3,1,140,0.3820332697043129
3,2,124,0.3650445362401563
3,3,127,0.3650445362401563
3,4,131,0.3650445362401563
3,5,138,0.3650445362401563
3,6,141,0.3650445362401563
3,7,123,0.3480558027759997
3,8,126,0.3480558027759997
3,9,129,0.3480558027759997
3,10,133,0.3480558027759997
20,1,1,6.361087751926941
20,2,2,3.2667020933657827
20,3,82,0.5653033913477505
20,4,85,0.5653033913477505
20,5,91,0.5653033913477505
20,6,93,0.5653033913477505
20,7,123,0.5420511252437812
20,8,63,0.5388223412412663
20,9,69,0.5388223412412663
20,10,80,0.5388223412412663
40,1,8,1.2214881241833102
40,2,19,1.0028099643585908
40,3,23,0.9244737116433452
40,4,26,0.8543027580886084
40,5,29,0.8543027580886084
40,6,44,0.8543027580886084
40,7,7,0.8469817598296157
40,8,9,0.8120064432573512
40,9,15,0.7841318045338717
40,10,27,0.7841318045338717
57,1,1,1.0584297446262347
57,2,141,0.8984348085826929
57,3,11,0.8817816232614133
57,4,140,0.8229467045073012
57,5,138,0.8013970615995897
57,6,133,0.7798474186918781
57,7,131,0.7672669613609788
57,8,96,0.7115872182146565
57,9,129,0.7115872182146565
57,10,92,0.7083603600556243
54,1,36,1.2157922888530464
54,2,64,1.161931834248424
54,3,85,1.161931834248424
54,4,46,1.1519529699105457
54,5,49,1.1519529699105457
